"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,1321563,1321563,512,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",92.000000,222894619484500,222894619487820
1,1,"Agent 2",1,1321563,1321563,512,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",120.000000,222894619484500,222894619487820
2,2,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",368.000000,222894619588141,222894619590101
2,2,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",376.000000,222894619588141,222894619590101
3,3,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",30.000000,222894619651502,222894619652823
3,3,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",31.000000,222894619651502,222894619652823
4,4,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",368.000000,222894619802785,222894619804625
4,4,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",376.000000,222894619802785,222894619804625
5,5,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",30.000000,222894619882267,222894619883627
5,5,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",31.000000,222894619882267,222894619883627
6,6,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",368.000000,222894620018429,222894620020269
6,6,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",376.000000,222894620018429,222894620020269
7,7,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",30.000000,222894620142071,222894620143391
7,7,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",31.000000,222894620142071,222894620143391
8,8,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",368.000000,222894620261074,222894620263154
8,8,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",376.000000,222894620261074,222894620263154
9,9,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",30.000000,222894620390196,222894620391476
9,9,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",31.000000,222894620390196,222894620391476
10,10,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",368.000000,222894620511918,222894620513878
10,10,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",376.000000,222894620511918,222894620513878
11,11,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",30.000000,222894620627480,222894620628880
11,11,"Agent 2",1,1321563,1321563,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",31.000000,222894620627480,222894620628880
12,12,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_HIT",368.000000,222894620746242,222894620748403
12,12,"Agent 2",1,1321563,1321563,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_MISS",376.000000,222894620746242,222894620748403
